code collectivite,LIBGEO,dsu,dsr,dnp,solde_fpic,fsrif,perequations,recette_avantp,MONTANT,avantp_hab,apresp_hab
73308,Venthon,0,8823,0,-6061,0,2762,657732.35,660494.35,1015.0190586419752,1019.2814043209876
73309,Verel-de-Montbel,0,8889,0,0,0,8889,239761.98,248650.98,788.6907236842105,817.9308552631579
73310,Verel-Pragondran,0,6357,0,0,0,6357,233534.62,239891.62,509.90091703056765,523.7808296943232
73311,Le Verneil,0,3808,0,0,0,3808,137576.18,141384.18,1479.3137634408602,1520.26
73312,Verrens-Arvey,0,18487,0,-4537,0,13950,477253.4,491203.4,534.4382978723404,550.0597984322509
73313,Verthemex,0,8237,0,0,0,8237,214985.72,223222.72,1155.8372043010752,1200.1221505376345
73314,Villard-d'Héry,0,6381,0,0,0,6381,194546.6,200927.6,725.9201492537313,749.7298507462687
73315,Villard-Léger,0,13701,4427,0,0,18128,426187.95,444315.95,827.5494174757282,862.7494174757281
73316,Villard-Sallet,0,8479,0,0,0,8479,207245.17,215724.17,704.9155442176872,733.7556802721089
73317,Villard-sur-Doron,0,121565,2093,0,0,123658,1348437.27,1472095.27,1893.872570224719,2067.549536516854
73318,Villarembert,0,25040,32739,0,0,57779,3805974.91,3863753.91,14694.883822393824,14917.968764478765
73320,Villargondran,0,0,0,0,0,0,950779.11,950779.11,1030.0965438786566,1030.0965438786566
73322,Villarodin-Bourget,0,60729,0,0,0,60729,1139691.69,1200420.69,2183.3174137931032,2299.6564942528735
73323,Villaroger,0,0,0,0,0,0,1856035.74,1856035.74,4698.824658227848,4698.824658227848
73324,Villaroux,0,4991,0,0,0,4991,173561.41,178552.41,744.8987553648069,766.319356223176
73326,Vimines,0,31959,0,0,0,31959,1212631.77,1244590.77,602.4002831594635,618.2765871833085
73327,Vions,0,7170,0,0,0,7170,325133.2,332303.2,768.6364066193854,785.5867612293144
73328,Viviers-du-Lac,0,22285,0,0,0,22285,1179746.32,1202031.32,530.9389378937894,540.9681908190819
73329,Voglans,0,0,0,0,0,0,2312639.06,2312639.06,1248.051300593632,1248.051300593632
73330,Yenne,0,136271,0,0,0,136271,2137586.06,2273857.06,706.173128510076,751.1916286752561
74001,Abondance,0,148716,28316,0,0,177032,2436651.42,2613683.42,1646.3860945945946,1766.0023108108107
74002,Alby-sur-Chéran,0,83664,0,0,0,83664,2622844,2706508,1042.05164878824,1075.2912197059993
74003,Alex,0,19548,0,0,0,19548,1531152.28,1550700.28,1417.7335925925927,1435.8335925925926
74004,Allèves,0,8795,0,0,0,8795,356426.93,365221.93,893.3005764411027,915.3431829573934
74005,Allinges,0,54097,0,0,0,54097,3730390.66,3784487.66,846.6615206536542,858.9395506128008
74006,Allonzier-la-Caille,0,25737,0,0,0,25737,1478650.91,1504387.91,789.4559049652963,803.1969620928991
74007,Amancy,0,27038,0,0,0,27038,1998487.65,2025525.65,800.0350880704564,810.8589471577261
74008,Ambilly,0,61077,0,0,0,61077,5634581.34,5695658.34,906.6100305711986,916.4373837489943
74009,Andilly,0,13136,0,0,0,13136,788259.94,801395.94,928.456937573616,943.92925795053
74010,Annecy,0,124945,642,0,0,125587,192443541.22,192569128.22,1498.524717104546,1499.502641447727
74012,Annemasse,1136046,0,0,0,0,1136046,46525169.72,47661215.72,1314.1960827071916,1346.2859646347663
74013,Anthy-sur-Léman,0,22623,0,0,0,22623,2550943.5,2573566.5,1141.8726499552372,1151.9993285586393
74014,Arâches-la-Frasse,0,60503,0,0,0,60503,11260909.28,11321412.28,5757.11108384458,5788.04308793456
74015,Arbusigny,0,26241,0,0,0,26241,873565.67,899806.67,801.4363944954129,825.5107064220184
74016,Archamps,0,25244,0,0,0,25244,2654360.06,2679604.06,994.8875787106447,1004.349347826087
74018,Arenthon,0,19254,0,0,0,19254,1277495.32,1296749.32,804.4680856423174,816.5927707808564
74019,Argonay,0,0,0,0,0,0,4954353.02,4954353.02,1714.3090034602074,1714.3090034602074
74020,Armoy,0,22038,0,0,0,22038,797785.81,819823.81,593.1493011152417,609.5344312267658
74021,Arthaz-Pont-Notre-Dame,0,14237,0,0,0,14237,1137979.45,1152216.45,799.1428721910112,809.1407654494382
74024,Ayse,0,28812,0,0,0,28812,1396497.11,1425309.11,641.4777721635278,654.7124988516307
74025,Ballaison,0,29085,0,0,0,29085,1515420.73,1544505.73,996.3318408941486,1015.4541288625904
74026,La Balme-de-Sillingy,0,85437,163431,0,0,248868,4965591.96,5214459.96,955.6566512702078,1003.5527251732102
74027,La Balme-de-Thuy,0,7902,0,0,0,7902,471224,479126,1063.7110609480812,1081.548532731377
74029,Bassy,0,11639,0,0,0,11639,505179.22,516818.22,1142.9394117647057,1169.2719909502262
74030,La Baume,0,13657,0,0,0,13657,417309.46,430966.46,1419.4199319727893,1465.87231292517
74031,Beaumont,0,33265,0,0,0,33265,2141977.97,2175242.97,816.6137895539459,829.295833015631
74032,Bellevaux,0,37702,40756,0,0,78458,1451607.21,1530065.21,1101.3711760242793,1160.899248861912
74033,Bernex,0,32710,42219,0,0,74929,1587420.32,1662349.32,1258.8583029341792,1318.2786042823157
74034,Le Biot,0,67693,15129,0,0,82822,801914.78,884736.78,1434.5523792486583,1582.7133810375672
74035,Bloye,0,9837,0,0,0,9837,439082.66,448919.66,718.629558101473,734.7293944353519
74036,Bluffy,0,6546,0,0,0,6546,330490.2,337036.2,818.0450495049505,834.2480198019803
74037,Boëge,0,32356,0,0,0,32356,1458745.66,1491101.66,853.0676374269005,871.9892748538011
74038,Bogève,0,82458,34192,0,0,116650,1236411.97,1353061.97,1162.04132518797,1271.6747838345864
74040,Bonne,0,46253,0,0,0,46253,2972687.78,3018940.78,870.4795841874085,884.0236544655929
74041,Bonnevaux,0,8103,0,0,0,8103,310846.54,318949.54,1173.0058113207547,1203.5831698113207
74042,Bonneville,224389,0,0,0,0,224389,11781017.43,12005406.43,903.4522569018404,920.6600023006134
74043,Bons-en-Chablais,0,273421,0,0,0,273421,5532411.45,5805832.45,1014.0050311583578,1064.1188508064517
74044,Bossey,0,8030,0,0,0,8030,954148.3,962178.3,1030.3977321814255,1039.0694384449243
74045,Le Bouchet-Mont-Charvin,0,14199,0,0,0,14199,367872.34,382071.34,1507.673524590164,1565.8661475409838
74046,Boussy,0,12574,5910,0,0,18484,369353.33,387837.33,731.3927326732673,767.9947128712871
74048,Brenthonne,0,18156,0,0,0,18156,840460.31,858616.31,854.126331300813,872.5775508130082
